year,sockeye,coho,pink,chum,area
1957,637247.00,107081.00,650869.00,706888.00,prince.william.sound
1958,345110.00,125367.00,6298828.00,687448.00,prince.william.sound
1959,327166.00,191942.00,1175.00,67.00,prince.william.sound
1960,428733.00,238744.00,1842400.00,382178.00,prince.william.sound
1961,656911.00,195858.00,2299887.00,224508.00,prince.william.sound
1962,804324.00,262038.00,6744196.00,892395.00,prince.william.sound
1963,458460.00,339892.00,5296925.00,942985.00,prince.william.sound
1964,779991.00,352343.00,4207444.00,539109.00,prince.william.sound
1965,945020.00,168111.00,2461274.00,201406.00,prince.william.sound
1966,1130278.00,189873.00,2700135.00,426744.00,prince.william.sound
1967,565708.00,247239.00,2626916.00,274454.00,prince.william.sound
1968,721201.00,309694.00,2456710.00,343412.00,prince.william.sound
1969,1020513.00,94304.00,4829427.00,321221.00,prince.william.sound
1970,1243403.00,252641.00,2810642.00,231349.00,prince.william.sound
1971,741945.00,327697.00,7312730.00,579552.00,prince.william.sound
1972,976115.00,124670.00,57090.00,46088.00,prince.william.sound
1973,473044.00,199019.00,2065844.00,740017.00,prince.william.sound
1974,741340.00,76041.00,458619.00,89210.00,prince.william.sound
1975,546634.00,84109.00,4453041.00,101286.00,prince.william.sound
1976,1009071.00,160494.00,3022426.00,370657.00,prince.william.sound
1977,943943.00,179417.00,4536459.00,573166.00,prince.william.sound
1978,505509.00,312930.00,2917499.00,489771.00,prince.william.sound
1979,369583.00,315745.00,15638258.00,349615.00,prince.william.sound
1980,208724.00,337123.00,14161023.00,482214.00,prince.william.sound
1981,784469.00,397163.00,20558304.00,1888822.00,prince.william.sound
1982,2240128.00,630162.00,20402259.00,1336695.00,prince.william.sound
1983,761455.00,339644.00,13980330.00,1044472.00,prince.william.sound
1984,1253270.00,579814.00,21569914.00,1247023.00,prince.william.sound
1985,1429197.00,1023765.00,25129314.00,1288543.00,prince.william.sound
1986,1288212.00,425727.00,11410945.00,1705309.00,prince.william.sound
1987,1742059.00,175652.00,29358842.00,1953777.00,prince.william.sound
1988,768347.00,478531.00,11831407.00,1850523.00,prince.william.sound
1989,1153805.00,424953.00,21844632.00,1001378.00,prince.william.sound
1990,911607.00,524299.00,44165077.00,967384.00,prince.william.sound
1991,1734544.00,641861.00,37135561.00,352321.00,prince.william.sound
1992,1771612.00,619572.00,8637116.00,334376.00,prince.william.sound
1993,1851133.00,445612.00,5761097.00,1186365.00,prince.william.sound
1994,1515320.00,1058175.00,36886301.00,1058227.00,prince.william.sound
1995,1523464.00,965017.00,16065231.00,758545.00,prince.william.sound
1996,3000602.00,459319.00,26048812.00,2103559.00,prince.william.sound
1997,4163400.00,83116.00,25836563.00,2227193.00,prince.william.sound
1998,1717275.00,194680.00,28694697.00,1271950.00,prince.william.sound
1999,2036707.00,170076.00,45013533.00,2960822.00,prince.william.sound
2000,1431540.00,714288.00,38885528.00,5163769.00,prince.william.sound
2001,2263274.00,494179.00,35246524.00,3099796.00,prince.william.sound
2002,2263328.00,650518.00,18950931.00,6373517.00,prince.william.sound
2003,2730016.00,521917.00,51975683.00,3803623.00,prince.william.sound
2004,1892525.00,619884.00,23531483.00,2001918.00,prince.william.sound
2005,1988771.00,536675.00,59896419.00,1996956.00,prince.william.sound
2006,2524501.00,763720.00,21722036.00,2181580.00,prince.william.sound
2007,3228937.00,328640.00,63464644.00,3578941.00,prince.william.sound
2008,1301067.00,550629.00,42353653.00,5075195.00,prince.william.sound
2009,1919145.00,300615.00,18358203.00,3220813.00,prince.william.sound
2010,1994585.00,357167.00,71178516.00,4348638.00,prince.william.sound
2011,3466741.00,343175.00,32699946.00,1841404.00,prince.william.sound
2012,3680451.00,201858.00,26749258.00,3746053.00,prince.william.sound
2013,2367814.00,644532.00,89305125.00,3884041.00,prince.william.sound
2014,3305224.00,615676.00,44309676.00,1536940.00,prince.william.sound
2015,3399979.00,217500.00,98031980.00,2526771.00,prince.william.sound
2016,2891240.00,477360.00,11988842.00,1977727.00,prince.william.sound
2017,1437461.00,558955.00,48591211.00,5391052.00,prince.william.sound
2018,1301783.00,509139.00,23937345.00,3437803.00,prince.william.sound
2019,2555000.00,504000.00,47446000.00,5342000.00,prince.william.sound
2020,942000.00,289000.00,23004000.00,2017000.00,prince.william.sound
2021,1240249.00,257016.00,66339167.00,2708132.00,prince.william.sound
2022,1568688.00,100786.00,24546733.00,2403226.00,prince.william.sound
2023,1752776.00,185555.00,46846628.00,3908243.00,prince.william.sound
2024,2813846.00,160171.00,5023801.00,1159162.00,prince.william.sound
1900,585309.00,20000.00,NA,NA,cook.inlet
1901,482406.00,8967.00,5591.00,NA,cook.inlet
1902,710280.00,54864.00,79246.00,NA,cook.inlet
1903,564189.00,58968.00,NA,NA,cook.inlet
1904,489348.00,23800.00,NA,NA,cook.inlet
1905,95547.00,NA,NA,NA,cook.inlet
1906,225506.00,93485.00,64100.00,NA,cook.inlet
1907,460620.00,177276.00,6420.00,NA,cook.inlet
1908,670774.00,94936.00,375140.00,NA,cook.inlet
1909,582562.00,88350.00,3740.00,NA,cook.inlet
1910,840187.00,79702.00,217666.00,1318.00,cook.inlet
1911,1249154.00,87909.00,70665.00,749.00,cook.inlet
1912,1194888.00,70567.00,1661874.00,121628.00,cook.inlet
1913,1369196.00,81484.00,10926.00,10813.00,cook.inlet
1914,1472829.00,188341.00,1255798.00,39905.00,cook.inlet
1915,1860684.00,122028.00,19308.00,27833.00,cook.inlet
1916,1699323.00,209978.00,1682672.00,128322.00,cook.inlet
1917,1659907.00,60776.00,54286.00,78468.00,cook.inlet
1918,1668394.00,251151.00,721231.00,108200.00,cook.inlet
1919,943694.00,172855.00,43447.00,54333.00,cook.inlet
1920,1314916.00,302353.00,445524.00,97541.00,cook.inlet
1921,983625.00,20519.00,4717.00,42409.00,cook.inlet
1922,860019.00,199923.00,637405.00,74389.00,cook.inlet
1923,1099465.00,142926.00,39146.00,23481.00,cook.inlet
1924,1056090.00,187656.00,752016.00,36755.00,cook.inlet
1925,1510861.00,198146.00,11828.00,15064.00,cook.inlet
1926,1999720.00,353173.00,586054.00,118455.00,cook.inlet
1927,1459068.00,387746.00,251866.00,59380.00,cook.inlet
1928,1172959.00,522509.00,568052.00,101086.00,cook.inlet
1929,1049851.00,184858.00,376863.00,134601.00,cook.inlet
1930,917882.00,498475.00,1022679.00,99630.00,cook.inlet
1931,805526.00,328294.00,472221.00,62628.00,cook.inlet
1932,1131958.00,374976.00,441125.00,64749.00,cook.inlet
1933,1336135.00,187972.00,118187.00,57245.00,cook.inlet
1934,1815267.00,251260.00,929992.00,91319.00,cook.inlet
1935,1355787.00,170438.00,430540.00,161424.00,cook.inlet
1936,2390281.00,328496.00,852924.00,264909.00,cook.inlet
1937,1581183.00,215700.00,487692.00,148869.00,cook.inlet
1938,2425253.00,213804.00,848733.00,191328.00,cook.inlet
1939,2334904.00,163010.00,319312.00,231645.00,cook.inlet
1940,1648952.00,478096.00,2604235.00,280831.00,cook.inlet
1941,1293234.00,359224.00,715211.00,272345.00,cook.inlet
1942,1540185.00,644823.00,965507.00,400989.00,cook.inlet
1943,1468279.00,279852.00,1457161.00,301899.00,cook.inlet
1944,1939932.00,256621.00,1815441.00,258840.00,cook.inlet
1945,1556713.00,329828.00,1367950.00,305901.00,cook.inlet
1946,1474473.00,581374.00,1338731.00,383563.00,cook.inlet
1947,1473973.00,443879.00,681731.00,279227.00,cook.inlet
1948,2035306.00,408079.00,1660147.00,439314.00,cook.inlet
1949,2153213.00,279701.00,433003.00,238646.00,cook.inlet
1950,2642374.00,351366.00,1132164.00,463507.00,cook.inlet
1951,2481346.00,284715.00,417485.00,292293.00,cook.inlet
1952,1510214.00,233771.00,2277019.00,450580.00,cook.inlet
1953,1490062.00,227612.00,550073.00,536639.00,cook.inlet
1954,1246672.00,336685.00,2460051.00,775659.00,cook.inlet
1955,1064128.00,180452.00,1286008.00,317053.00,cook.inlet
1956,1295095.00,207534.00,1803295.00,870269.00,cook.inlet
1957,670629.00,127199.00,306841.00,1207920.00,cook.inlet
1958,496842.00,241561.00,2598314.00,596179.00,cook.inlet
1959,634313.00,112664.00,137255.00,411157.00,cook.inlet
1960,948040.00,314153.00,2023252.00,776079.00,cook.inlet
1961,1185079.00,119397.00,337394.00,405221.00,cook.inlet
1962,1172859.00,358051.00,4960030.00,1149841.00,cook.inlet
1963,958101.00,203876.00,234052.00,525537.00,cook.inlet
1964,990709.00,462114.00,4287378.00,1402419.00,cook.inlet
1965,1426352.00,154481.00,139561.00,344521.00,cook.inlet
1966,1867323.00,295101.00,2585820.00,660887.00,cook.inlet
1967,1409106.00,180455.00,407717.00,382282.00,cook.inlet
1968,1200146.00,475333.00,2863638.00,1194248.00,cook.inlet
